bed,row,col,Unique.ID,bud.date,flower.date,fruit.date,last.FL.date,last:FR.date,death.date,survey.notes
C,41,B,2574,,,,,,5/14/26,
C,42,A,1747,,,,,,,
C,42,B,buffer,,,,,,,
C,43,A,73,,,,,,8/28/25,
C,43,B,2522,,,,,,,
C,44,A,2558,,,,,,,
C,44,B,2169,,,,,,,
C,45,A,2165,,,,,,5/14/26,
C,45,B,2328,,,,,,,
C,46,A,2408,,,,,,5/14/26,
C,46,B,2392,,,,,,5/14/26,
C,47,A,2154,,,,,,5/14/26,
C,47,B,1933,,,,,,08/01/25,
C,48,A,1893,,,,,,6/17/25,
C,48,B,2411,,,,,,6/9/25,
C,49,A,buffer,,,,,,,
C,49,B,2551,,,,,,8/14/25,
C,50,A,1620,,,,,,,
C,50,B,404,,,,,,5/14/26,
C,51,A,2579,,,,,,,
C,51,B,2361,,,,,,,
C,52,A,buffer,,,,,,,
C,52,B,buffer,,,,,,,
C,53,A,1990,,,,,,6/17/25,
C,53,B,2286,,,,,,5/14/26,
C,54,A,1795,,,,,,5/14/26,
C,54,B,buffer,,,,,,,
C,55,A,2488,,,,,,6/9/25,
C,55,B,2020,,,,,,5/14/26,
C,56,A,1936,,,,,,5/14/26,
C,56,B,2173,,,,,,,
C,57,A,2608,,,,,,8/28/25,
C,57,B,2398,,,,,,5/14/26,
C,58,A,395,,,,,,7/3/25,
C,58,B,1916,,,,,,6/17/25,
C,59,A,buffer,,,,,,,
C,59,B,buffer,,,,,,,
C,60,A,buffer,,,,,,,
C,60,B,buffer,,,,,,,
C,1,C,buffer,,,,,,,
C,1,D,buffer,,,,,,,
C,2,C,buffer,,,,,,,
C,2,D,buffer,,,,,,,
C,3,C,buffer,,,,,,,
C,3,D,buffer,,,,,,,
C,4,C,2127,,,,,,6/17/25,
C,4,D,NA,,,,,,,
C,5,C,2228,,,,,,5/14/26,
C,5,D,NA,,,,,,,
C,6,C,2476,,,,,,,
C,6,D,2314,,,,,,6/17/25,
C,7,C,2051,,,,,,5/14/26,
C,7,D,2419,,,,,,,
C,8,C,1826,,,,,,5/14/26,
C,8,D,1699,,,,,,08/01/25,
C,9,C,2200,,,,,,10/20/25,
C,9,D,NA,,,,,,,
C,10,C,2006,,,,,,6/17/25,
C,10,D,NA,,,,,,,
C,11,C,2563,,,,,,08/01/25,
C,11,D,2170,,,,,,5/14/26,
C,12,C,1621,,,,,,5/14/26,
C,12,D,2258,,,,,,,
C,13,C,2619,,,,,,6/3/25,
C,13,D,2041,,,,,,10/20/25,
C,14,C,1950,,,,,,10/2025,
C,14,D,1873,,,,,,,
C,15,C,1738,,,,,,8/7/25,
C,15,D,2555,,,,,,7/3/25,
C,16,C,2359,,,,,,8/1/25,
C,16,D,2115,,,,,,5/14/26,
C,17,C,1608,,,,,,6/17/25,
C,17,D,2217,,,,,,8/28/25,
C,18,C,2402,,,,,,5/14/26,
C,18,D,1931,,,,,,7/3/25,
C,19,C,1861,,,,,,9/18/25,
C,19,D,2391,,,,,,7/25/25,
C,20,C,2360,,,,,,5/14/26,
C,20,D,2254,,,,,,5/14/26,
C,21,C,2303,,,,,,,Only stem
C,21,D,2550,,,,,,5/14/26,
C,22,C,2499,,,,,,5/14/26,
C,22,D,2606,,,,,,10/20/25,
C,23,C,2405,,,,,,,
C,23,D,737,,,,,,9/18/25,
C,24,C,2070,,,,,,5/14/26,
C,24,D,1911,,,,,,6/9/25,
C,25,C,1820,,,,,,5/14/26,
C,25,D,1828,,,,,,9/18/25,
C,26,C,NA,,,,,,,
C,26,D,NA,,,,,,,
C,27,C,NA,,,,,,,
C,27,D,NA,,,,,,,
C,28,C,1932,,,,,,5/14/26,
C,28,D,buffer,,,,,,,
C,29,C,711,,,,,,9/18/25,
C,29,D,2269,,,,,,8/14/25,
C,30,C,2620,,,,,,9/29/25,
C,30,D,2646,,,,,,5/14/26,
C,31,C,2420,,,,,,5/14/26,
C,31,D,2096,,,,,,5/14/26,
C,32,C,2580,,,,,,10/20/25,
C,32,D,2430,,,,,,5/14/26,
C,33,C,2339,,,,,,5/14/26,
C,33,D,2410,,,,,,5/14/26,
C,34,C,2471,,,,,,,
C,34,D,2201,,,,,,5/14/26,
C,35,C,2218,,,,,,5/14/26,
C,35,D,2153,,,,,,8/14/25,
C,36,C,buffer,,,,,,,
C,36,D,buffer,,,,,,,
C,37,C,2260,,,,,,5/14/26,
C,37,D,714,,,,,,7/18/25,
C,38,C,1982,,,,,,5/14/26,
C,38,D,539,,,,,,5/14/26,
C,39,C,2220,,,,,,5/14/26,
C,39,D,1821,,,,,,5/14/26,
C,40,C,1992,,,,,,5/14/26,
C,40,D,2204,,,,,,5/14/26,
C,41,C,2607,,,,,,5/14/26,
C,41,D,2554,,,,,,,
C,42,C,2446,,,,,,6/27/25,
C,42,D,2043,,,,,,5/14/26,
C,43,C,1156,,,,,,9/18/25,
C,43,D,1048,,,,,,5/14/26,
C,44,C,1252,,,,,,8/28/25,
C,44,D,1085,,,,,,9/24/25,
C,45,C,NA,,,,,,,
C,45,D,394,,,,,,9/24/25,
C,46,C,NA,,,,,,,
C,46,D,1766,,,,,,5/14/26,
C,47,C,2255,,,,,,9/18/25,
C,47,D,1399,,,,,,8/14/25,
C,48,C,89,,,,,,8/28/25,
C,48,D,1919,,,,,,5/14/26,
C,49,C,2643,,,,,,5/14/26,
C,49,D,2480,,,,,,10/20/25,
C,50,C,1794,,,,,,5/14/26,
C,50,D,2097,,,,,,5/14/26,
C,51,C,2397,,,,,,9/18/25,
C,51,D,1831,,,,,,5/14/26,
C,52,C,2516,,,,,,5/14/26,
C,52,D,1701,,,,,,10/20/25,
C,53,C,2311,,,,,,5/14/26,
C,53,D,2640,5/14/26,,,,,,
C,54,C,buffer,,,,,,,
C,54,D,buffer,,,,,,,
c,55,C,2423,,,,,,6/17/25,
C,55,D,2519,,,,,,,
C,56,C,2450,,,,,,6/17/25,
C,56,D,2559,,,,,,,
C,57,C,1798,,,,,,6/17/25,
C,57,D,1835,,,,,,,
C,58,C,2031,,,,,,,
C,58,D,2457,,,,,,,
C,59,C,buffer,,,,,,,
C,59,D,buffer,,,,,,,
C,60,C,buffer,,,,,,,
C,60,D,buffer,,,,,,,
D,1,A,buffer,,,,,,,
D,1,B,buffer,,,,,,,
D,2,A,buffer,,,,,,,
D,2,B,buffer,,,,,,,
D,3,A,buffer,,,,,,,
D,3,B,buffer,,,,,,,
D,4,A,1993,,,,,,5/14/26,
D,4,B,1704,,,,,,6/17/25,
D,5,A,2483,,,,,,5/14/26,
D,5,B,2239,,,,,,8/7/25,
D,6,A,NA,,,,,,,
D,6,B,NA,,,,,,,
D,7,A,NA,,,,,,,
D,7,B,NA,,,,,,,
D,8,A,2075,,,,,,7/3/25,
D,8,B,NA,,,,,,,
D,9,A,2155,,,,,,5/14/26,
D,9,B,2320,,,,,,5/14/26,
D,10,A,2278,,,,,,5/14/26,
D,10,B,436,,,,,,7/18/25,
D,11,A,2362,,,,,,8/7/25,
D,11,B,1822,,,,,,5/14/26,
D,12,A,NA,,,,,,,
D,12,B,304,,,,,,5/14/26,
D,13,A,2470,,,,,,7/25/25,
D,13,B,2209,,,,,,5/14/26,
D,14,A,2417,,,,,,5/14/26,
D,14,B,2205,,,,,,,Stem Only
D,15,A,1790,,,,,,8/7/25,
D,15,B,1107,,,,,,9/4/25,
D,16,A,1995,,,,,,5/14/26,
D,16,B,1961,,,,,,5/14/26,
D,17,A,2240,,,,,,5/14/26,
D,17,B,403,,,,,,7/18/25,
D,18,A,2521,,,,,,5/14/26,
D,18,B,2610,,,,,,5/14/26,
D,19,A,2393,,,,,,6/9/25,
D,19,B,141,,,,,,8/14/25,
D,20,A,2532,,,,,,10/20/25,
D,20,B,buffer,,,,,,,
D,21,A,2363,,,,,,6/9/25,
D,21,B,2609,,,,,,8/14/25,
D,22,A,2206,,,,,,5/14/26,
D,22,B,2593,,,,,,,
D,23,A,1894,,,,,,5/14/26,
D,23,B,2413,,,,,,10/20/25,
D,24,A,2597,,,,,,,
D,24,B,2440,,,,,,,
D,25,A,2504,,,,,,6/27/25,
D,25,B,2222,,,,,,,
D,26,A,2577,,,,,,5/14/26,
D,26,B,1803,,,,,,5/14/26,
D,27,A,1939,,,,,,08/01/25,
D,27,B,2444,,,,,,6/17/25,
D,28,A,1864,,,,,,,
D,28,B,2403,,,,,,5/14/26,
D,29,A,2312,,,,,,5/14/26,
D,29,B,1942,,,,,,5/14/26,
D,30,A,103,,,,,,8/14/25,
D,30,B,1760,,,,,,5/14/26,
D,31,A,1967,,,,,,5/14/26,
D,31,B,2569,,,,,,5/14/26,
D,32,A,1968,,,,,,5/14/26,
D,32,B,2633,,,,,,,
D,33,A,1280,,,,,,8/14/25,
D,33,B,246,,,,,,9/4/25,
D,34,A,2406,,,,,,8/21/25,
D,34,B,2224,,,,,,5/14/26,
D,35,A,buffer,,,,,,,
D,35,B,190,,,,,,9/18/25,
D,36,A,2130,,,,,,7/18/25,
D,36,B,2507,,,,,,,
D,37,A,1675,,,,,,10/20/25,
D,37,B,2364,,,,,,10/20/25,
D,38,A,1774,,,,,,,
D,38,B,2418,,,,,,5/14/26,
D,39,A,2515,,,,,,,
D,39,B,1838,,,,,,,
D,40,A,2261,,,,,,,
D,40,B,2414,,,,,,9/4/25,
D,41,A,2455,,,,,,,
D,41,B,1940,,,,,,5/14/26,
D,42,A,2324,,,,,,,
D,42,B,1985,,,,,,5/14/26,
D,43,A,895,,,,,,7/18/25,
D,43,B,1804,,,,,,5/14/26,
D,44,A,2207,,,,,,5/14/26,
D,44,B,2596,,,,,,5/14/26,
D,45,A,2241,,,,,,,
D,45,B,398,,,,,,,
D,46,A,2583,,,,,,5/14/26,
D,46,B,2238,,,,,,7/25/25,
D,47,A,buffer,,,,,,,
D,47,B,1403,,,,,,5/14/26,
D,48,A,2490,,,,,,5/14/26,
D,48,B,1702,,,,,,5/14/26,
D,49,A,2525,,,,,,5/14/26,
D,49,B,1707,,,,,,5/14/26,
D,50,A,buffer,,,,,,,
D,50,B,2625,,,,,,5/14/26,
D,51,A,buffer,,,,,,,
D,51,B,1988,,,,,,8/28/25,
D,52,A,522,,,,,,9/29/25,
D,52,B,2463,,,,,,5/14/26,
D,53,A,2395,,,,,,7/18/25,
D,53,B,2212,,,,,,5/14/26,
D,54,A,1876,,,,,,5/14/26,
D,54,B,1849,,,,,,5/14/26,
D,55,A,2573,,,,,,,
D,55,B,2425,,,,,,,
D,56,A,2544,,,,,,9/24/25,
D,56,B,2492,,,,,,5/14/26,
D,57,A,buffer,,,,,,,
D,57,B,1327,,,,,,5/14/26,
D,58,A,buffer,,,,,,,
D,58,B,2131,,,,,,5/14/26,
D,1,C,buffer,,,,,,,
D,1,D,buffer,,,,,,,
D,2,C,buffer,,,,,,,
D,2,D,buffer,,,,,,,
D,3,C,buffer,,,,,,,
D,3,D,buffer,,,,,,,
D,4,C,1901,,,,,,5/14/26,
D,4,D,2221,,,,,,08/01/25,
D,5,C,2292,,,,,,5/14/26,
D,5,D,2121,,,,,,,
D,6,C,NA,,,,,,,
D,6,D,NA,,,,,,,
D,7,C,1751,,,,,,5/14/26,
D,7,D,NA,,,,,,,
D,8,C,2538,,,,,,5/14/26,
D,8,D,1856,,,,,,6/9/25,
D,9,C,2622,,,,,,5/14/26,
D,9,D,1768,,,,,,5/14/26,
D,10,C,2412,,,,,,5/14/26,
D,10,D,buffer,,,,,,,
D,11,C,1614,,,,,,6/17/25,
D,11,D,buffer,,,,,,,
D,12,C,2257,,,,,,5/14/26,
D,12,D,2578,,,,,,7/3/25,
D,13,C,144,,,,,,8/28/25,
D,13,D,2576,,,,,,5/14/26,
D,14,C,1976,,,,,,6/17/25,
D,14,D,buffer,,,,,,,
D,15,C,2376,,,,,,5/14/26,
D,15,D,1667,,,,,,8/28/25,
D,16,C,2343,,,,,,,
D,16,D,2539,,,,,,,
D,17,C,2644,,,,,,7/18/25,
D,17,D,1791,,,,,,8/28/25,
D,18,C,2510,,,,,,5/14/26,
D,18,D,2054,,,,,,5/14/26,
D,19,C,1767,,,,,,5/14/26,
D,19,D,1644,,,,,,5/14/26,
D,20,C,buffer,,,,,,,
D,20,D,2399,,,,,,5/14/26,
D,21,C,buffer,,,,,,,
D,21,D,1977,,,,,,,
D,22,C,53,,,,,,8/25/25,
D,22,D,buffer,,,,,,,
D,23,C,buffer,,,,,,,
D,23,D,815,,,,,,8/28/25,
D,24,C,2265,,,,,,8/7/25,
D,24,D,2461,,,,,,,
D,25,C,2047,,,,,,,
D,25,D,2623,,,,,,6/17/25,
D,26,C,1753,,,,,,7/3/25,
D,26,D,1600,,,,,,,
D,27,C,1837,,,,,,5/14/26,
D,27,D,2283,,,,,,5/14/26,
D,28,C,2501,,,,,,6/9/25,
D,28,D,2129,,,,,,5/14/26,
D,29,C,1971,,,,,,5/14/26,
D,29,D,2617,,,,,,5/14/26,
D,30,C,1834,,,,,,6/9/25,
D,30,D,2451,,,,,,5/14/26,
D,31,C,2540,,,,,,5/14/26,
D,31,D,2647,,,,,,6/27/25,
D,32,C,2431,,,,,,8/7/25,
D,32,D,2526,,,,,,5/14/26,
D,33,C,2422,,,,,,5/14/26,
D,33,D,2601,,,,,,6/3/25,
D,34,C,1648,,,,,,5/14/26,
D,34,D,2345,,,,,,5/14/26,
D,35,C,204,,,,,,6/27/25,
D,35,D,2479,,,,,,9/24/25,
D,36,C,NA,,,,,,,
D,36,D,2468,,,,,,5/14/26,
D,37,C,2050,,,,,,5/14/26,
D,37,D,1882,,,,,,10/28/25,
D,38,C,1997,,,,,,7/25/25,
D,38,D,2055,,,,,,5/14/26,
D,39,C,1862,,,,,,,
D,39,D,1430,,,,,,8/28/25,
D,40,C,2340,,,,,,5/14/26,
D,40,D,1404,,,,,,9/4/25,
D,41,C,1913,,,,,,5/14/26,
D,41,D,2484,,,,,,5/14/26,
D,42,C,491,,,,,,8/7/25,
D,42,D,76,,,,,,9/18/25,
D,43,C,363,,,,,,8/28/25,
D,43,D,2046,,,,,,9/4/25,
D,44,C,385,,,,,,8/28/25,
D,44,D,2531,,,,,,5/14/26,
D,45,C,2624,,,,,,6/3/25,
D,45,D,2543,,,,,,,
D,46,C,2277,,,,,,5/14/26,
D,46,D,1972,,,,,,8/28/25,
D,47,C,1682,,,,,,08/01/25,
D,47,D,2065,,,,,,5/14/26,
D,48,C,1615,,,,,,10/28/25,
D,48,D,2369,,,,,,5/14/26,
D,49,C,2192,,,,,,7/10/25,
D,49,D,2387,,,,,,5/14/26,
D,50,C,2103,,,,,,5/14/26,
D,50,D,2542,,,,,,5/14/26,
D,51,C,2445,,,,,,5/14/26,
D,51,D,1839,,,,,,5/14/26,
D,52,C,2242,,,,,,5/14/26,
D,52,D,1806,,,,,,5/14/26,
D,53,C,2429,,,,,,5/14/26,
D,53,D,2346,,,,,,,
D,54,C,2567,,,,,,5/14/26,
D,54,D,936,,,,,,8/14/25,
D,55,C,2235,,,,,,5/14/26,
D,55,D,1796,,,,,,5/14/26,
D,56,C,2166,,,,,,5/14/26,
D,56,D,2485,,,,,,,
D,57,C,1970,,,,,,5/14/26,
D,57,D,buffer,,,,,,,
D,58,C,buffer,,,,,,,
D,58,D,buffer,,,,,,,
D,59,C,buffer,,,,,,,
D,59,D,buffer,,,,,,,
E,1,B,buffer,,,,,,,
E,2,A,buffer,,,,,,,
E,2,B,buffer,,,,,,,
E,3,A,buffer,,,,,,,
E,3,B,buffer,,,,,,,
ITI,4,A,2225,,,,,,5/14/26,
E,4,B,1998,,,,,,5/14/26,
E,5,A,2475,,,,,,7/3/25,
E,5,B,2641,,,,,,5/14/26,
E,6,A,NA,,,,,,,
E,6,B,2061,,,,,,5/14/26,
E,7,A,2266,,,,,,5/14/26,
E,7,B,2534,,,,,,5/14/26,
E,8,A,2282,,,,,,5/14/26,
E,8,B,2028,,,,,,5/14/26,
E,9,A,buffer,,,,,,,
E,9,B,2132,,,,,,5/14/26,
E,10,A,399,,,,,,7/18/25,
E,10,B,2374,,,,,,,Stem resprouting 5/14
E,11,A,2088,,,,,,5/14/26,
E,11,B,2518,,,,,,6/17/25,
E,12,A,2079,,,,,,8/14/25,
E,12,B,NA,,,,,,,
E,13,A,2486,,,,,,6/17/25,
E,13,B,NA,,,,,,,
E,14,A,2211,,,,,,5/14/26,
E,14,B,2025,,,,,,5/14/26,
E,15,A,2018,,,,,,9/18/25,
E,15,B,1896,,,,,,5/14/26,
E,16,A,1857,,,,,,5/14/26,
E,16,B,2244,,,,,,6/17/25,
E,17,A,1807,,,,,,6/17/25,
E,17,B,1840,,,,,,8/14/25,
E,18,A,2000,,,,,,5/14/26,
E,18,B,372,,,,,,8/28/25,
E,19,A,1605,,,,,,6/27/25,
E,19,B,1975,,,,,,5/14/26,
E,20,A,1684,,,,,,10/28/25,
E,20,B,2367,,,,,,5/14/26,
E,21,A,2104,,,,,,,Stem resprouting 5/14
E,21,B,2437,,,,,,5/14/26,
E,22,A,2014,,,,,,,Stem resprouting 5/14
E,22,B,buffer,,,,,,,
E,23,A,buffer,,,,,,,
E,23,B,2524,,,,,,9/4/25,
E,24,A,2584,,,,,,6/3/25,
E,24,B,2400,,,,,,6/17/25,
E,25,A,2332,,,,,,5/14/26,
E,25,B,1808,,,,,,5/14/26,
E,26,A,1713,,,,,,9/4/25,
E,26,B,NA,,,,,,,
E,27,A,95,,,,,,8/7/25,
E,27,B,1841,,,,,,5/14/26,
E,28,A,1999,,,,,,7/18/25,
E,28,B,2453,,,,,,,
E,29,A,2106,,,,,,,ding/Stem turgid
E,29,B,2375,,,,,,5/14/26,
E,30,A,NA,,,,,,,
E,30,B,NA,,,,,,,
E,41,A,1601,,,,,,5/14/26,
E,41,B,2194,,,,,,08/01/25,
E,42,A,2627,,,,,,08/01/25,
E,42,B,2434,,,,,,,
E,43,A,369,,,,,,6/3/25,
E,43,B,1686,,,,,,10/28/25,
E,44,A,NA,,,,,,,
E,44,B,2273,,,,,,5/14/26,
E,45,A,2208,,,,,,5/14/26,
E,45,B,1902,,,,,,6/17/25,
E,46,A,2304,,,,,,7/3/25,
E,46,B,2613,,,,,,5/14/26,
E,47,A,NA,,,,,,,
E,47,B,2586,,,,,,5/14/26,
E,48,A,2164,,,,,,5/14/26,
E,48,B,1974,,,,,,5/14/26,
E,49,A,buffer,,,,,,,
E,49,B,2503,,,,,,5/14/26,
E,50,A,2458,,,,,,6/17/25,
E,50,B,1193,,,,,,8/14/25,
E,51,A,334,,,,,,8/28/25,
E,51,B,1800,5/14/26,,,,,,
E,52,A,buffer,,,,,,,
E,52,B,buffer,,,,,,,
E,1,C,buffer,,,,,,,
E,1,D,buffer,,,,,,,
E,2,C,buffer,,,,,,,
E,2,D,buffer,,,,,,,
E,3,C,buffer,,,,,,,
E,3,D,buffer,,,,,,,
E,4,C,1789,,,,,,7/3/25,
E,4,D,2415,,,,,,7/10/25,
E,5,C,NA,,,,,,,
E,5,D,2432,,,,,,,5/14 stem turgid/no leaves
E,6,C,1656,,,,,,6/17/25,
E,6,D,NA,,,,,,,
E,7,C,2582,,,,,,9/4/25,
E,7,D,1406,,,,,,9/18/25,
E,8,C,2541,,,,,,,
E,8,D,2366,,,,,,5/14/26,
E,9,C,2636,,,,,,6/3/25,
E,9,D,2347,,,,,,5/14/26,
E,10,C,1711,,,,,,6/27/25,
E,10,D,2630,,,,,,8/28/25,
E,11,C,2268,,,,,,5/14/26,
E,11,D,2552,,,,,,5/14/26,
ITI,12,C,NA,,,,,,,
E,12,D,2007,,,,,,5/14/26,
E,13,C,NA,,,,,,,
E,13,D,1490,,,,,,9/18/25,
E,14,C,2193,,,,,,5/14/26,
E,14,D,2394,,,,,,9/4/25,
E,15,C,2498,,,,,,6/27/25,
E,15,D,NA,,,,,,,
E,16,C,2272,,,,,,5/14/26,
E,16,D,NA,,,,,,,
E,17,C,1657,,,,,,7/3/25,
E,17,D,2174,,,,,,5/14/26,
E,18,C,2057,,,,,,5/14/26,
E,18,D,2122,,,,,,5/14/26,
E,19,C,2040,,,,,,5/14/26,
E,19,D,buffer,,,,,,,
E,20,C,2190,,,,,,6/27/25,
E,20,D,2626,,,,,,7/18/25,
E,21,C,1781,,,,,,5/14/26,
E,21,D,2416,,,,,,5/14/26,
E,22,C,2036,,,,,,5/14/26,
E,22,D,2428,,,,,,5/14/26,
E,23,C,2409,,,,,,5/14/26,
E,23,D,2325,,,,,,5/14/26,
E,24,C,2585,,,,,,5/14/26,
E,24,D,2502,,,,,,5/14/26,
E,25,C,2080,,,,,,5/14/26,
E,25,D,2067,,,,,,5/14/26,
E,26,C,1623,,,,,,9/4/25,
E,26,D,2091,,,,,,5/14/26,
E,27,C,1658,,,,,,08/01/25,
E,27,D,79,,,,,,8/28/25,
E,28,C,2637,,,,,,9/24/25,
E,28,D,1870,,,,,,5/14/26,
E,29,C,2348,,,,,,5/14/26,
E,29,D,buffer,,,,,,,
E,30,C,NA,,,,,,,
E,30,D,buffer,,,,,,,
E,41,C,2477,,,,,,,
E,41,D,2259,,,,,,5/14/26,
E,42,C,2473,,,,,,9/29/25,alive 5/14/26
E,42,D,2245,,,,,,5/14/26,
E,43,C,2648,,,,,,8/7/25,
E,43,D,2134,,,,,,5/14/26,
E,44,C,2426,,,,,,5/14/26,
E,44,D,1763,,,,,,5/14/26,
E,45,C,buffer,,,,,,,
E,45,D,buffer,,,,,,,
E,46,C,2297,,,,,,5/14/26,
E,46,D,2628,,,,,,5/14/26,
E,47,C,2594,,,,,,5/14/26,
E,47,D,2011,,,,,,5/14/26,
m,48,C,2081,,,,,,5/14/26,
E,48,D,2568,,,,,,6/9/25,
E,49,C,380,,,,,,8/28/25,
E,49,D,2600,,,,,,,
E,50,C,1809,,,,,,5/14/26,
E,50,D,2308,,,,,,,
E,51,C,1715,,,,,,9/4/25,
E,51,D,2385,,,,,,6/17/25,
E,52,C,buffer,,,,,,,
E,52,D,buffer,,,,,,,
F,1,A,buffer,,,,,,,
F,1,B,buffer,,,,,,,
F,2,A,buffer,,,,,,,
F,2,B,buffer,,,,,,,
F,3,A,buffer,,,,,,,
F,3,B,buffer,,,,,,,
F,4,A,1842,,,,,,,5/14 dying/Stem turgid
F,4,B,2528,,,,,,,5/14 dying /stem twgic
F,5,A,1783,,,,,,8/14/25,
F,5,B,NA,,,,,,,
F,6,A,2333,,,,,,,
F,6,B,2377,,,,,,7/3/25,
F,7,A,1859,,,,,,,5/14 dying/stem turgid
F,7,B,buffer,,,,,,,
F,8,A,2048,,,,,,,
F,8,B,2015,,,,,,5/14/26,
F,9,A,2449,,,,,,8/28/25,
F,9,B,1892,,,,,,9/4/25,
F,10,A,2616,,,,,,6/27/25,
F,10,B,1659,,,,,,5/14/26,
F,11,A,2288,,,,,,9/24/25,
F,11,B,2533,,,,,,5/14/26,
F,12,A,2494,,,,,,7/18/25,
F,12,B,2136,,,,,,5/14/26,
F,13,A,2109,,,,,,,
F,13,B,buffer,,,,,,,
F,14,A,1662,,,,,,8/14/25,
F,14,B,2433,,,,,,5/14/26,
F,15,A,2631,,,,,,5/14/26,
F,15,B,2611,,,,,,,5/14 dying/stem turgid
F,16,A,1463,,,,,,8/28/25,
F,16,B,2196,,,,,,5/14/26,
F,17,A,2289,,,,,,5/14/26,
F,17,B,1912,,,,,,5/14/26,
F,18,A,2035,,,,,,5/14/26,
F,18,B,2459,,,,,,5/14/26,
F,19,A,1989,,,,,,5/14/26,
F,19,B,2341,,,,,,5/14/26,
F,20,A,buffer,,,,,,,
F,20,B,2603,,,,,,9/11/25,
F,21,A,2110,,,,,,5/14/26,
F,21,B,2350,,,,,,9/18/25,
F,22,A,buffer,,,,,,,
F,22,B,2010,,,,,,5/14/26,
F,23,A,1602,,,,,,5/14/26,
F,23,B,2462,,,,,,8/28/25,
F,24,A,2247,,,,,,5/14/26,
F,24,B,2027,,,,,,,
F,25,A,buffer,,,,,,,
F,25,B,2530,,,,,,5/14/26,
F,26,A,1811,,,,,,10/28/25,
F,26,B,1692,,,,,,,5/14 dying/stem turgid
F,27,A,2514,,,,,,5/14/26,
F,27,B,2581,,,,,,,
F,28,A,1724,,,,,,5/14/26,
F,28,B,2571,,,,,,6/17/25,
F,29,A,NA,,,,,,,
F,29,B,NA,,,,,,,
F,39,A,861,,,,,,9/18/25,
F,39,B,buffer,,,,,,,
F,40,A,buffer,,,,,,,
F,40,B,NA,,,,,,,
F,41,A,1880,,,,,,5/14/26,
